Amtsave,Brand,Genre,Country,Desc,Discount,Domain,Image,Insertedon,List_price,Model,Name,Payment_methods_supported,Productcode,Selling_price,Specifications,Type,Uniq_id,Url,Weight
251,John Wiley,Books | Literature & Fiction | General | The Fast Forward Mba In Negotiating And Deal Making,IN,"{""Description""=>{""Brand""=>""John Wiley"", ""Product Code""=>""9780471256984_61036"", ""ISBN13""=>""9780471256984"", ""ISBN10""=>""471256986"", ""Authored By""=>""Roy J. Lewicki ; Alexander Hiam"", ""Language""=>""English"", ""Publication Year""=>""1998"", ""Publisher Name""=>""John Wiley"", ""No. Of Pages""=>""288"", ""Weight""=>""500 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",25%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780471256984_61036/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,1006,4319,The Fast Forward Mba In Negotiating And Deal Making,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",12155470,755,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""1998"", ""publisher_name""=>""Cambridge University Press""}}",Bestseller Books,e9db4c15be86d0481a2d55d55393ac5a,https://paytm.com/shop/p/the-fast-forward-mba-in-negotiating-and-deal-making-9780471256984_61036,500
63,Ballantine Books,Books | Literature & Fiction | Suspense Thriller | Killjoy,IN,"{""Description""=>{""Brand""=>""Ballantine Books"", ""Product Code""=>""9780345453815_44120"", ""ISBN-13""=>""9780345453815"", ""ISBN-10""=>""345453816"", ""Authored By""=>""Julie Garwood"", ""Publication Year""=>""2003"", ""Imprint""=>""Ballantine Books"", ""Binding""=>""Others"", ""Languages""=>""English"", ""ISBN 13""=>""9780345453815""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345453815_44120/0x1920/70/3.jpg,2016-05-18 08:01:18 +0000,462,8769,Killjoy,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",13724317,399,"{""specifications""=>{""binding""=>""Others"", ""languages""=>""English"", ""publication_year""=>""2003"", ""isbn_13""=>""9780345453815"", ""publisher_name""=>""Ballantine Books""}}",Bestseller Books,032845dbc3a32f9c20db562f49d8850e,https://paytm.com/shop/p/killjoy-9780345453815_44120,500
140,PAN BOOKS LTD,Books | Literature & Fiction | Fantasy | Honour Among Thieves,IN,"{""Description""=>{""Brand""=>""PAN BOOKS LTD"", ""Product Code""=>""9780330518895_95907"", ""ISBN-13""=>""9780330518895"", ""ISBN-10""=>""330518895"", ""Authored By""=>""JEFFREY ARCHER"", ""Language""=>""English"", ""Publication Year""=>""2010"", ""Publisher Name""=>""Pan Publishing"", ""No. Of Pages""=>""200"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9780330518895""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",35%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780330518895_95907/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,399,4947,Honour Among Thieves,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",23069084,259,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2010"", ""isbn_13""=>""9780330518895"", ""publisher_name""=>""PAN BOOKS LTD""}}",Bestseller Books,a5a5086ae1128b6eecd24374ffee593e,https://paytm.com/shop/p/honour-among-thieves-9780330518895_95907,500
140,Transworld Publishers,Books | Children & Teens | Children | Comics & Graphic Novels | First Sight,IN,"{""Description""=>{""Brand""=>""Transworld Publishers"", ""Product Code""=>""9780552159111_97246"", ""ISBN-13""=>""9780552159111"", ""ISBN-10""=>""552159115"", ""Authored By""=>""Danielle Steel"", ""Language""=>""English"", ""Publication Year""=>""2014 April"", ""Publisher Name""=>""Transworld Publishers"", ""No. Of Pages""=>""512"", ""Imprint""=>""Corgi"", ""Weight""=>""381 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9780552159111""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",35%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780552159111_97246/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,399,6216,First Sight,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",23079978,259,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2014 April"", ""isbn_13""=>""9780552159111"", ""publisher_name""=>""Transworld Publishers""}}",Bestseller Books,fb9afd0660ee31450d97837acc26f264,https://paytm.com/shop/p/first-sight-9780552159111_97246,500
27,Rupa Publications India,Books | Literature & Fiction | Romance | 2 States: The Story Of My Marriage,IN,"{""Description""=>{""Brand""=>""Rupa Publications India"", ""Product Code""=>""9788129115300_30212"", ""ISBN-13""=>""9788129115300"", ""ISBN-10""=>""8129115301"", ""Language""=>""English"", ""Edition""=>""4"", ""Publication Year""=>""2010"", ""Publisher Name""=>""Rupa"", ""No. Of Pages""=>""268"", ""Binding""=>""Paperback"", ""Languages""=>""English""}, ""Shipping Details""=>{""Estimated Arrival""=>""8 - 11 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",15%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9788129115300_30212/0x1920/70/0.jpeg,2016-05-18 08:01:18 +0000,176,6448,2 States The Story Of My Marriage,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",16474030,149,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2010"", ""publisher_name""=>""Rupa Publications India""}}",Bestseller Books,98ea9453d67f6e20f1c19c0f74602600,https://paytm.com/shop/p/21316-9788129115300_30212,500
144,Harper Collins Publishers India,Books | Literature & Fiction | Romance | Pretty Little Liars#15:Toxic,IN,"{""Description""=>{""Brand""=>""Harper Collins Publishers India"", ""Product Code""=>""9780062287021_225808"", ""ISBN-13""=>""9780062287021"", ""ISBN-10""=>""62287028"", ""Authored By""=>""Sara Shepard"", ""Language""=>""English"", ""Publication Year""=>""2015"", ""Publisher Name""=>""Harper Collins Publishers India"", ""No. Of Pages""=>""352"", ""Weight""=>""500 gm"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""Imprint""=>""HarperTeen""}, ""Shipping Details""=>{""Estimated Arrival""=>""7 - 10 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",36%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780062287021_225808/0x1920/70/0.jpeg,2016-05-18 08:01:18 +0000,399,5789,Pretty Little Liars#15:Toxic,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",44857970,255,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2015"", ""publisher_name""=>""Harper Collins Publishers India"", ""imprint""=>""HarperTeen""}}",Bestseller Books,6c9a37ef40e6138457fc1f881edf6bba,https://paytm.com/shop/p/pretty-little-liars-15-toxic-9780062287021_225808,500
87,Macmillian India Ltd,Books | Children & Teens | Children | Classics | Blindsight,IN,"{""Description""=>{""Brand""=>""Macmillian India Ltd"", ""Product Code""=>""9780330327411_23843"", ""ISBN-13""=>""9780330327411"", ""ISBN-10""=>""330327410"", ""Authored By""=>""Robin Cook"", ""Language""=>""English"", ""Edition""=>""1"", ""Publication Year""=>""1993"", ""Publisher Name""=>""Macmillian "", ""No. Of Pages""=>""432"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9780330327411""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",25%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780330327411_23843/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,350,6645,Blindsight,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",9893973,263,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""1993"", ""isbn_13""=>""9780330327411"", ""publisher_name""=>""AVON BOOKS""}}",Bestseller Books,333af984cfae18727bd5e71b81171049,https://paytm.com/shop/p/blindsight-9780330327411_23843,500
89,Books,Books | Literature & Fiction | Fantasy | Manuscript Found In Accra,IN,"{""Description""=>{""Brand""=>""Books"", ""Product Code""=>""9780007520619_158754"", ""Binding""=>""Paperback"", ""Languages""=>""Others"", ""Publication Year""=>""2014"", ""ISBN 13""=>""9780007520619""}, ""Shipping Details""=>{""Estimated Arrival""=>""5 - 8 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",10%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780007520619_158754/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,893,12961,Manuscript Found In Accra,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",44782889,804,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""Others"", ""publication_year""=>""2014"", ""isbn_13""=>""9780007520619""}}",Bestseller Books,dc412dd82430786dd6006781fa4d2578,https://paytm.com/shop/p/manuscript-found-in-accra-9780007520619_158754,500
80,HARPER COLLINS INDIA,Books | Literature & Fiction | Literature | A Matter Of Honor,IN,"{""Description""=>{""Brand""=>""HARPER COLLINS INDIA"", ""Product Code""=>""9780330419055_27296"", ""ISBN-13""=>""9780330419055"", ""ISBN-10""=>""330419056"", ""Authored By""=>""Jeffrey Archer"", ""Language""=>""English"", ""Publication Year""=>""2003"", ""Publisher Name""=>""Pan Macmillan"", ""No. Of Pages""=>""200"", ""Binding""=>""Paperback"", ""Languages""=>""English"", ""ISBN 13""=>""9780330419055""}, ""Shipping Details""=>{""Estimated Arrival""=>""7 - 10 days"", ""Return Policy""=>""Seller will accept returns within a 15 days from date of delivery of the item""}}",20%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780330419055_27296/0x1920/70/6.jpg,2016-05-18 08:01:18 +0000,399,6173,A Matter Of Honor,"[""Cash On Delivery"", ""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",6258206,319,"{""specifications""=>{""binding""=>""Paperback"", ""languages""=>""English"", ""publication_year""=>""2003"", ""isbn_13""=>""9780330419055"", ""publisher_name""=>""HARPER COLLINS INDIA""}}",Bestseller Books,d33a4c5c8c9e25562e2397241f4aade2,https://paytm.com/shop/p/a-matter-of-honor-9780330419055_27296,
63,Ballantine Books,Books | Literature & Fiction | Romance | The Recruit,IN,"{""Description""=>{""Brand""=>""Ballantine Books"", ""Product Code""=>""9780345528414_44120"", ""ISBN-13""=>""9780345528414"", ""ISBN-10""=>""345528417"", ""Authored By""=>""Monica Mccarty"", ""Publication Year""=>""2012"", ""Imprint""=>""Ballantine Books"", ""Binding""=>""Others"", ""Languages""=>""English"", ""ISBN 13""=>""9780345528414""}, ""Shipping Details""=>{""Estimated Arrival""=>""23 - 26 days"", ""Return Policy""=>""Seller will accept returns within  7 days from date of delivery of the item only in the case of damaged, defective or wrong products received. Order once placed , will not be cancelled.""}}",14%,https://catalog.paytm.com,https://assetscdn.paytm.com/images/catalog/product/9/97/9780345528414_44120/0x1920/70/0.jpg,2016-05-18 08:01:18 +0000,462,8769,The Recruit,"[""Credit Card"", ""Debit Card"", ""Net Banking"", ""Payment Protection Insurance"", ""EMI""]",13594274,399,"{""specifications""=>{""binding""=>""Others"", ""languages""=>""English"", ""publication_year""=>""2012"", ""isbn_13""=>""9780345528414"", ""publisher_name""=>""Ballantine Books""}}",Bestseller Books,e3d33b52703cea3651bc2422786ef64e,https://paytm.com/shop/p/the-recruit-9780345528414_44120,500
